
******************************************************************************

       Energy levels and statistical weights for FeV   

 Data is from K Butler, Priv. Com. Feb 95   
 Date data calculated: 20-Jun-1989                             

 This data file was written by the program:
 Uhaul:/export/home1/users/dlmiller/atomic/create/mk_data_file.f
 See the comments in this routine for more information.  DLM

  Config        Statistical   Energy  Ionization
                  Weight      (cm-1)  Energy(eV)
******************************************************************************

28-Jun-1995                             !Date
182                                     !Number of energy levels
605000.0000                             !Ionization energy (cm-1)
5.0                                     !Screened nuclear charge
3800                                    !Number of transitions

3d4(4)5De[1]-3d3(2P3)4p3So[1]        3.8150D-05   2.2070D+06     339.556     2- 156      56
3d4(4)5De[1]-3d3(2D3)4p1Do[2]        1.8030D-08   6.3030D+02     338.324     2- 157      57
3d4(4)5De[1]-3d3(2F3)4p3Do[1]        9.3300D-06   5.4460D+05     338.031     2- 158      58
3d4(4)5De[1]-3d3(2F3)4p3Fo[2]        1.6250D-07   5.9370D+03     330.961     2- 159      59
3d4(4)5De[1]-3d3(2F3)4p1Do[2]        5.3200D-09   2.0130D+02     325.201     2- 166      60
3d4(4)5De[1]-3d3(2F3)4p3Do[2]        5.5760D-06   2.1170D+05     324.651     2- 167      61
3d4(4)5De[1]-3d3(2D3)4p1Po[1]        1.4440D-07   9.1690D+03     324.118     2- 168      62
3d4(4)5De[1]-3d3(2D1)4p3Do[1]        4.0530D-08   2.8980D+03     305.445     2- 171      63
3d4(4)5De[1]-3d3(2D1)4p3Do[2]        9.7460D-07   4.1830D+04     305.378     2- 172      64
3d4(4)5De[1]-3d3(2D1)4p1Do[2]        4.3320D-07   1.8850D+04     303.300     2- 174      65
3d4(4)5De[1]-3d3(2D1)4p3Fo[2]        1.5880D-07   6.9730D+03     301.940     2- 175      66
3d4(4)5De[1]-3d3(2D1)4p3Po[2]        2.0450D-07   9.1500D+03     299.073     2- 178      67
3d4(4)5De[1]-3d3(2D1)4p3Po[1]        2.7360D-10   2.0500D+01     298.395     2- 179      68
3d4(4)5De[1]-3d3(2D1)4p3Po[0]        9.6690D-09   2.1780D+03     298.062     2- 180      69
3d4(4)5De[1]-3d3(2D1)4p1Po[1]        1.0940D-08   8.5500D+02     292.124     2- 182      70
3d4(4)5De[2]-3d3(4F3)4p5Go[2]        1.0750D-09   4.6380D+01     393.103     3-  69      71
3d4(4)5De[2]-3d3(4F3)4p5Go[3]        2.8380D-08   8.7910D+02     392.185     3-  70      72
3d4(4)5De[2]-3d3(4F3)4p5Fo[1]        8.0010D-03   5.8890D+08     388.614     3-  73      73
3d4(4)5De[2]-3d3(4F3)4p5Do[2]        3.8740D-03   1.7160D+08     388.031     3-  74      74
3d4(4)5De[2]-3d3(4F3)4p5Do[3]        1.0160D-01   3.2270D+09     387.203     3-  79      75
3d4(4)5De[2]-3d3(4F3)4p5Do[1]        4.8390D-02   3.5940D+09     386.886     3-  81      76
3d4(4)5De[2]-3d3(4F3)4p5Fo[2]        5.5790D-02   2.4950D+09     386.162     3-  83      77
3d4(4)5De[2]-3d3(4F3)4p5Fo[3]        2.9490D-04   9.4650D+06     385.301     3-  84      78
3d4(4)5De[2]-3d3(4F3)4p3Do[1]        7.2160D-04   5.4050D+07     385.241     3-  85      79
3d4(4)5De[2]-3d3(4F3)4p3Do[2]        8.6880D-06   3.9170D+05     384.624     3-  86      80
3d4(4)5De[2]-3d3(4F3)4p3Do[3]        8.8930D-03   2.8810D+08     383.491     3-  89      81
3d4(4)5De[2]-3d3(4F3)4p3Go[3]        1.1360D-04   3.7570D+06     379.534     3-  91      82
3d4(4)5De[2]-3d3(4F3)4p3Fo[2]        1.4820D-06   7.0060D+04     375.664     3-  94      83
3d4(4)5De[2]-3d3(4F3)4p3Fo[3]        3.5010D-05   1.1870D+06     374.781     3-  95      84
3d4(4)5De[2]-3d3(4P3)4p5Po[1]        2.3080D-02   1.9150D+09     365.998     3-  97      85
3d4(4)5De[2]-3d3(4P3)4p5Po[2]        3.8870D-02   1.9420D+09     365.338     3-  98      86
3d4(4)5De[2]-3d3(4P3)4p5Po[3]        4.4010D-03   1.5800D+08     364.281     3- 100      87
3d4(4)5De[2]-3d3(4P3)4p5Do[1]        1.5280D-03   1.2820D+08     363.995     3- 101      88
3d4(4)5De[2]-3d3(4P3)4p5Do[2]        1.5810D-03   7.9750D+07     363.693     3- 102      89
3d4(4)5De[2]-3d3(4P3)4p3Po[2]        8.1620D-05   4.1570D+06     361.871     3- 105      90
3d4(4)5De[2]-3d3(4P3)4p3Po[1]        1.0430D-03   8.8570D+07     361.862     3- 106      91
3d4(4)5De[2]-3d3(4P3)4p5Do[3]        2.7470D-03   1.0020D+08     361.466     3- 107      92
3d4(4)5De[2]-3d3(2G3)4p3Go[3]        8.8910D-08   3.2820D+03     359.225     3- 111      93
3d4(4)5De[2]-3d3(2G3)4p3Fo[2]        4.0920D-06   2.1420D+05     356.987     3- 116      94
3d4(4)5De[2]-3d3(2G3)4p3Fo[3]        7.9720D-06   2.9860D+05     356.614     3- 117      95
3d4(4)5De[2]-3d3(2P3)4p3Po[1]        6.8460D-07   6.0320D+04     355.205     3- 118      96
3d4(4)5De[2]-3d3(4P3)4p5So[2]        1.5340D-05   8.1350D+05     354.602     3- 121      97
3d4(4)5De[2]-3d3(2G3)4p1Fo[3]        4.7790D-06   1.8130D+05     354.416     3- 122      98
3d4(4)5De[2]-3d3(2P3)4p3Po[2]        2.6680D-05   1.4170D+06     354.374     3- 123      99
3d4(4)5De[2]-3d3(2D3)4p3Fo[2]        4.7940D-05   2.5660D+06     353.021     3- 125     100
3d4(4)5De[2]-3d3(4P3)4p3Do[1]        3.5200D-06   3.1410D+05     352.937     3- 126     101
3d4(4)5De[2]-3d3(2P3)4p1Do[2]        2.7070D-08   1.4610D+03     351.501     3- 129     102
3d4(4)5De[2]-3d3(4P3)4p3Do[3]        3.2370D-06   1.2530D+05     350.807     3- 131     103
3d4(4)5De[2]-3d3(2P3)4p1Po[1]        1.8600D-07   1.6860D+04     350.208     3- 132     104
3d4(4)5De[2]-3d3(4P3)4p3Do[2]        1.3660D-05   7.4410D+05     349.971     3- 133     105
3d4(4)5De[2]-3d3(4P3)4p3So[1]        5.7460D-05   5.2160D+06     349.931     3- 134     106
3d4(4)5De[2]-3d3(2P3)4p3Do[3]        2.7270D-05   1.0630D+06     349.633     3- 135     107
3d4(4)5De[2]-3d3(2P3)4p3Do[1]        2.8640D-06   2.6120D+05     349.116     3- 136     108
3d4(4)5De[2]-3d3(2P3)4p3Do[2]        3.2840D-05   1.7970D+06     349.107     3- 137     109
3d4(4)5De[2]-3d3(2D3)4p3Fo[3]        2.4930D-06   9.7610D+04     348.806     3- 138     110
