
********************************************************************************

                 Dielectronic Transitions for OV (Singlets and Triplets).
                 LTDR transitions with ALPHA(DIE) < 1.00E-02 (*10^-12) ignored.

********************************************************************************

01-Sep-1989                                      !Date
918702.0000                                      !Ionization energy
5.0                                              !Screened nuclear charge
211                                              !Number of dielectronic transitions

  Transition            f           A          Lam(A)     Gu      v(exc)          a(10^4)   a(2x10^4)  a(3x10^4)

2p4f3Ge-2p6g3Ho     2.503E-01   1.198E+09     1067.85    33.0   6.1570E-01       2.131E-01  3.301E-01  2.941E-01    60
2p5f3Ge-2p6g3Ho     1.113E+00   6.864E+08     2975.41    33.0   6.1570E-01       1.221E-01  1.892E-01  1.685E-01    61
2s6h3Ho-2p6h3Ge     6.101E-02   4.671E+08     1031.88    27.0   6.1708E-01       6.753E-02  1.050E-01  9.360E-02    62
2p5g3Go-2p6h3Ge     6.781E-02   5.266E+07     2930.67    27.0   6.1708E-01       7.613E-03  1.183E-02  1.055E-02    63
2p5g3Fo-2p6h3Ge     1.692E+00   9.726E+08     3004.64    27.0   6.1708E-01       1.406E-01  2.186E-01  1.949E-01    64
2s6g3Ge-2p6g3Fo     3.701E-02   3.123E+08     1008.10    21.0   6.2059E-01       3.453E-02  5.413E-02  4.840E-02    65
2p4f3Fe-2p6g3Fo     1.337E-02   8.553E+07     1021.17    21.0   6.2059E-01       9.457E-03  1.482E-02  1.326E-02    66
2p4f3De-2p6g3Fo     1.870E-01   8.006E+08     1055.06    21.0   6.2059E-01       8.852E-02  1.388E-01  1.241E-01    67
2p4f3Ge-2p6g3Fo     2.323E-02   1.753E+08     1065.99    21.0   6.2059E-01       1.938E-02  3.038E-02  2.717E-02    68
2p5f3De-2p6g3Fo     1.203E+00   6.268E+08     3024.36    21.0   6.2059E-01       6.930E-02  1.086E-01  9.715E-02    69
2p3d3Do-2p6f3De     8.245E-03   3.045E+08      424.99    15.0   6.2571E-01       2.346E-02  3.724E-02  3.343E-02    70
2p3d3Po-2p6f3De     6.125E-02   1.314E+09      431.92    15.0   6.2571E-01       1.013E-01  1.607E-01  1.443E-01    71
2p4d3Do-2p6f3De     2.228E-02   1.437E+08     1016.86    15.0   6.2571E-01       1.107E-02  1.757E-02  1.578E-02    72
2s6f3Fo-2p6f3De     5.425E-02   4.752E+08     1032.55    15.0   6.2571E-01       3.662E-02  5.811E-02  5.218E-02    73
2p4d3Po-2p6f3De     1.693E-01   6.297E+08     1037.22    15.0   6.2571E-01       4.852E-02  7.700E-02  6.914E-02    74
2p5d3Po-2p6f3De     7.549E-01   3.651E+08     2876.55    15.0   6.2571E-01       2.813E-02  4.465E-02  4.009E-02    75
2p2p3Pe-2p7s3Po     4.768E-03   1.747E+09      134.92     9.0   1.0853E+00       8.898E-03  4.254E-02  5.517E-02    76
2s7s3Se-2p7s3Po     2.090E-01   4.355E+08     1033.04     9.0   1.0853E+00       2.218E-03  1.061E-02  1.375E-02    77
2s2p3Po-2p7p3Se     4.396E-03   6.735E+09      114.28     3.0   1.1559E+00       8.150E-03  4.616E-02  6.333E-02    78
2s2p3Po-2p7p3De     6.751E-03   2.069E+09      114.27    15.0   1.1576E+00       1.242E-02  7.060E-02  9.701E-02    79
2p3s3Po-2p7p3De     6.889E-03   2.549E+08      328.87    15.0   1.1576E+00       1.530E-03  8.698E-03  1.195E-02    80
2s7p3Po-2p7p3De     1.203E-01   4.524E+08     1031.72    15.0   1.1576E+00       2.715E-03  1.544E-02  2.121E-02    81
2s2p3Po-2p7p3Pe     2.051E-03   1.049E+09      114.20     9.0   1.1737E+00   #   3.497E-03  2.067E-02  2.876E-02    82
2s7p3Po-2p7p3Pe     7.151E-02   4.531E+08     1026.05     9.0   1.1737E+00   #   1.510E-03  8.926E-03  1.242E-02    83
2p3p3De-2p7d3Fo     1.300E-02   4.879E+08      356.32    21.0   1.1810E+00       3.664E-03  2.204E-02  3.085E-02    84
2p4p3De-2p7d3Fo     3.324E-02   2.553E+08      787.66    21.0   1.1810E+00       1.917E-03  1.153E-02  1.614E-02    85
2s7d3De-2p7d3Fo     9.166E-02   4.051E+08     1038.31    21.0   1.1810E+00       3.042E-03  1.830E-02  2.562E-02    86
2p2p3Pe-2p7d3Do     3.569E-02   7.934E+09      134.18    15.0   1.2086E+00   #   3.727E-02  2.395E-01  3.429E-01    87
2p3p3De-2p7d3Do     4.538E-03   2.400E+08      355.16    15.0   1.2086E+00   #   1.127E-03  7.246E-03  1.037E-02    88
2p3p3Pe-2p7d3Do     2.664E-02   7.739E+08      371.18    15.0   1.2086E+00   #   3.635E-03  2.337E-02  3.344E-02    89
2p4p3Pe-2p7d3Do     4.707E-02   2.895E+08      806.66    15.0   1.2086E+00   #   1.360E-03  8.741E-03  1.251E-02    90
2s7d3De-2p7d3Do     7.627E-02   4.810E+08     1028.46    15.0   1.2086E+00   #   2.259E-03  1.452E-02  2.079E-02    91
2p2p3Pe-2p7d3Po     1.148E-02   4.255E+09      134.17     9.0   1.2104E+00       1.189E-02  7.676E-02  1.100E-01    92
2s3d3De-2p7d3Po     5.548E-03   7.919E+08      279.08     9.0   1.2104E+00       2.213E-03  1.429E-02  2.048E-02    93
2p3p3Se-2p7d3Po     2.368E-02   3.986E+08      363.45     9.0   1.2104E+00       1.114E-03  7.191E-03  1.031E-02    94
2p3p3Pe-2p7d3Po     8.236E-03   3.989E+08      371.10     9.0   1.2104E+00       1.115E-03  7.196E-03  1.031E-02    95
2s7d3De-2p7d3Po     5.454E-02   5.739E+08     1027.85     9.0   1.2104E+00       1.604E-03  1.035E-02  1.484E-02    96
