************************************************************************************************************************
 
                 Energy Levels and statistical weights for CaX
 
                    g        E(cm^-1)    10^15 Hz     eV       Lam(A)       ID      ARAD       GAM2        GAM4
************************************************************************************************************************
 
17-Oct-2000                                      !Format date
30-Mar-2002                                      !Date
79                                               !Number of energy levels
1704047.0000                                     !Ionization energy
10.0                                             !Screened nuclear charge
1941                                             !Number of transitions
 
3s_2Se[1/2] -19w_2W          5.0347E-04  2.6058E+06     -59.750       1-  68       24
3s_2Se[1/2] -20w_2W          4.2918E-04  2.0118E+06     -59.644       1-  69       25
3s_2Se[1/2] -21w_2W          3.6891E-04  1.5733E+06     -59.553       1-  70       26
3s_2Se[1/2] -22w_2W          3.1949E-04  1.2448E+06     -59.475       1-  71       27
3s_2Se[1/2] -23w_2W          2.7856E-04  9.9524E+05     -59.407       1-  72       28
3s_2Se[1/2] -24w_2W          2.4437E-04  8.0346E+05     -59.347       1-  73       29
3s_2Se[1/2] -25w_2W          2.1558E-04  6.5439E+05     -59.295       1-  74       30
3s_2Se[1/2] -26w_2W          1.9116E-04  5.3733E+05     -59.248       1-  75       31
3s_2Se[1/2] -27w_2W          1.7031E-04  4.4454E+05     -59.207       1-  76       32
3s_2Se[1/2] -28w_2W          1.5240E-04  3.7035E+05     -59.170       1-  77       33
3s_2Se[1/2] -29w_2W          1.3692E-04  3.1053E+05     -59.137       1-  78       34
3s_2Se[1/2] -30w_2W          1.2348E-04  2.6195E+05     -59.107       1-  79       35
3p_2Po[1/2] -3d_2De[3/2]     4.2657E-01  8.3937E+09     411.694       2-   4       36
3p_2Po[1/2] -4s_2Se[1/2]     8.0481E-02  2.3284E+10     151.843       2-   6       37
3p_2Po[1/2] -4d_2De[3/2]     2.0212E-01  4.4566E+10     122.988       2-   9       38
3p_2Po[1/2] -5s_2Se[1/2]     1.5192E-02  1.0144E+10      99.950       2-  13       39
3p_2Po[1/2] -5d_2De[3/2]     7.4067E-02  2.8531E+10      93.049       2-  16       40
3p_2Po[1/2] -6s_2Se[1/2]     5.8894E-03  5.4159E+09      85.167       2-  21       41
3p_2Po[1/2] -6d_2De[3/2]     3.5750E-02  1.7619E+10      82.262       2-  24       42
3p_2Po[1/2] -7s_2Se[1/2]     3.0027E-03  3.2533E+09      78.462       2-  29       43
3p_2Po[1/2] -7d_2De[3/2]     2.0300E-02  1.1439E+10      76.933       2-  32       44
3p_2Po[1/2] -8s_2Se[1/2]     1.7610E-03  2.1015E+09      74.763       2-  37       45
3p_2Po[1/2] -8d_2De[3/2]     1.2698E-02  7.7669E+09      73.840       2-  40       46
3p_2Po[1/2] -9s_2Se          1.1361E-03  1.4434E+09     -72.459       2-  45       47
3p_2Po[1/2] -9d_2De[3/2]     8.5200E-03  5.5021E+09      71.864       2-  48       48
3p_2Po[1/2] -10s_2Se         7.7963E-04  1.0335E+09     -70.933       2-  53       49
3p_2Po[1/2] -10d_2De[3/2]    6.0038E-03  4.0264E+09      70.520       2-  55       50
3p_2Po[1/2] -11w_2W          4.7634E-03  5.4385E+07     -69.486       2-  60       51
3p_2Po[1/2] -12w_2W          3.5488E-03  3.4735E+07     -68.793       2-  61       52
3p_2Po[1/2] -13w_2W          2.7205E-03  2.3042E+07     -68.264       2-  62       53
3p_2Po[1/2] -14w_2W          2.1346E-03  1.5780E+07     -67.850       2-  63       54
3p_2Po[1/2] -15w_2W          1.7076E-03  1.1104E+07     -67.519       2-  64       55
3p_2Po[1/2] -16w_2W          1.3886E-03  7.9999E+06     -67.251       2-  65       56
3p_2Po[1/2] -17w_2W          1.1451E-03  5.8823E+06     -67.030       2-  66       57
3p_2Po[1/2] -18w_2W          9.5594E-04  4.4042E+06     -66.846       2-  67       58
3p_2Po[1/2] -19w_2W          8.0659E-04  3.3508E+06     -66.692       2-  68       59
3p_2Po[1/2] -20w_2W          6.8705E-04  2.5861E+06     -66.560       2-  69       60
3p_2Po[1/2] -21w_2W          5.9018E-04  2.0218E+06     -66.447       2-  70       61
3p_2Po[1/2] -22w_2W          5.1081E-04  1.5991E+06     -66.350       2-  71       62
3p_2Po[1/2] -23w_2W          4.4515E-04  1.2783E+06     -66.265       2-  72       63
3p_2Po[1/2] -24w_2W          3.9034E-04  1.0317E+06     -66.191       2-  73       64
3p_2Po[1/2] -25w_2W          3.4422E-04  8.4016E+05     -66.125       2-  74       65
3p_2Po[1/2] -26w_2W          3.0513E-04  6.8977E+05     -66.068       2-  75       66
3p_2Po[1/2] -27w_2W          2.7176E-04  5.7056E+05     -66.016       2-  76       67
3p_2Po[1/2] -28w_2W          2.4311E-04  4.7526E+05     -65.970       2-  77       68
3p_2Po[1/2] -29w_2W          2.1837E-04  3.9846E+05     -65.929       2-  78       69
3p_2Po[1/2] -30w_2W          1.9688E-04  3.3608E+05     -65.892       2-  79       70
3p_2Po[3/2] -3d_2De[3/2]     4.1766E-02  1.5757E+09     420.477       3-   4       71
3p_2Po[3/2] -3d_2De[5/2]     3.7654E-01  9.5033E+09     419.754       3-   5       72
