**************************************************************************************************************************
**************************************************************************************************************************

Collision strengths (Omega[i,k]) for OIII. The collisional excitation rate
is defined by

           C(i,k)=8.63D-08 OMEGA(i,k) EXP(-U0) / Gi /sqrt(T_4).

We also use the same definition for the ionization collision strength.
For ionization of low lying levels we expect OMEGA(i,i) to be propotional to T.

 Collision rates for the lowest 3 states are from Keith Butler (2012)
 Values in Butler which are 0. set to 1.d-4

 [Reference] O\,{\sc iii} collision strengths (Keith Butler, private communication, 2012)

**************************************************************************************************************************
**************************************************************************************************************************

1224                            !Number of transitions
10                              !Number of T values OMEGA tabulated at
1.0                             !Scaling factor for OMEGA (non-FILE values).
0.01                            !Value for OMEGA if f=0

Transition\T                                0.180     0.450     0.900     1.800     4.500     9.000    18.000    45.000    90.000   180.000

2s2_2p2_1De-2s_2p3_3Do                     1.2750    1.3100    1.4350    1.5650    1.5540    1.4090    1.1980    0.8970    0.6900    0.5050
2s2_2p2_1De-2s_2p3_3Po                     0.3590    0.3790    0.4380    0.5130    0.5220    0.4610    0.3760    0.2650    0.2000    0.1450
2s2_2p2_1De-2s_2p3_1Do                     4.2200    4.2400    4.3400    4.4600    4.6700    4.9800    5.5500    6.9300    8.5600   10.6000
2s2_2p2_1De-2s_2p3_3So                     0.0850    0.1100    0.1040    0.0870    0.0680    0.0550    0.0410    0.0260    0.0180    0.0120
2s2_2p2_1De-2s_2p3_1Po                     2.3600    2.4000    2.4300    2.4800    2.6100    2.7900    3.1300    4.0200    5.1000    6.5000
2s2_2p2_1De-2s2_2p_3s_3Po                  1.6230    1.1700    0.9620    0.8680    0.7900    0.6940    0.5730    0.3940    0.2630    0.1610
2s2_2p2_1De-2s2_2p_3s_1Po                  0.3810    0.4570    0.5510    0.5960    0.5210    0.4080    0.3070    0.2550    0.2920    0.3880
2s2_2p2_1De-2s2_2p_3p_1Pe                  0.3580    0.3280    0.2990    0.2840    0.2460    0.1990    0.1510    0.0950    0.0630    0.0490
2s2_2p2_1De-2s2_2p_3p_3De                  0.4590    0.4780    0.4400    0.3830    0.2900    0.2250    0.1780    0.1480    0.1450    0.1460
2s2_2p2_1De-2p4_3Pe                        0.1710    0.1510    0.1330    0.1130    0.0810    0.0590    0.0440    0.0310    0.0240    0.0180
2s2_2p2_1De-2s2_2p_3p_3Se                  0.2120    0.2360    0.2340    0.2250    0.1910    0.1540    0.1160    0.0720    0.0470    0.0290
2s2_2p2_1De-2s2_2p_3p_3Pe                  0.7050    0.7250    0.6750    0.5930    0.4920    0.4440    0.4230    0.4290    0.4450    0.4440
2s2_2p2_1De-2s2_2p_3p_1De                  0.5360    0.4210    0.3600    0.3030    0.2260    0.1750    0.1320    0.0860    0.0660    0.1040
2s2_2p2_1De-2p4_1De                        1.0700    1.2200    1.2600    1.2100    1.0700    0.9820    0.9350    0.9450    0.9940    1.0300
2s2_2p2_1De-2s2_2p_3p_1Se                  0.0720    0.0760    0.0760    0.0690    0.0550    0.0460    0.0390    0.0340    0.0350    0.0380
2s2_2p2_1De-2s2_2p_3d_3Fo                  0.5540    0.5100    0.4710    0.4510    0.4600    0.4950    0.5640    0.7630    1.0210    1.3310
2s2_2p2_1De-2s2_2p_3d_1Do                  0.3040    0.2900    0.2740    0.2670    0.2700    0.2780    0.2900    0.3340    0.4040    0.5290
2s2_2p2_1De-2s2_2p_3d_3Do                  0.5960    0.5500    0.5220    0.4990    0.4610    0.4240    0.3730    0.2900    0.2290    0.1640
2s2_2p2_1De-2s2_2p_3d_3Po                  0.2700    0.2610    0.2590    0.2630    0.2560    0.2400    0.2120    0.1650    0.1290    0.0900
2s2_2p2_1De-2s2_2p_3d_1Fo                  0.6290    0.6900    0.7660    0.8500    1.0000    1.1900    1.5000    2.2800    3.2400    4.5300
2s2_2p2_1De-2s2_2p_3d_1Po                  0.0640    0.0740    0.0780    0.0780    0.0730    0.0680    0.0660    0.0740    0.0880    0.1000
2s2_2p2_1De-2s_2p2(4Pe)3s_5Pe              0.0280    0.0280    0.0310    0.0330    0.0260    0.0170    0.0100    0.0050    0.0030    0.0010
2s2_2p2_1De-2s_2p2(4Pe)3s_3Pe              0.2700    0.2910    0.2840    0.2590    0.2070    0.1600    0.1180    0.0920    0.0970    0.1100
2s2_2p2_1De-2s2_2p_4s_3Po                  0.2190    0.2120    0.2010    0.1760    0.1360    0.1080    0.0880    0.0730    0.0650    0.0550
2s2_2p2_1De-2s2_2p_4s_1Po                  0.1900    0.2040    0.1900    0.1630    0.1260    0.1000    0.0750    0.0480    0.0320    0.0270
2s2_2p2_1De-2p4_1Se                        0.0410    0.0430    0.0430    0.0440    0.0440    0.0450    0.0460    0.0470    0.0460    0.0450
2s2_2p2_1De-2s_2p2(4Pe)3p_3So              0.0310    0.0310    0.0290    0.0240    0.0170    0.0110    0.0070    0.0040    0.0030    0.0020
2s2_2p2_1De-2s_2p2(4Pe)3p_5Do              0.1040    0.0840    0.0710    0.0640    0.0560    0.0480    0.0400    0.0330    0.0300    0.0300
2s2_2p2_1De-2s2_2p_4p_1Pe                  0.0150    0.0110    0.0090    0.0070    0.0050    0.0040    0.0040    0.0040    0.0040    0.0060
2s2_2p2_1De-2s2_2p_4p_3De                  0.8630    0.7450    0.6880    0.6410    0.5600    0.4760    0.3770    0.2520    0.1740    0.1110
2s2_2p2_1De-2s2_2p_4p_3Se                  0.0040    0.0050    0.0060    0.0050    0.0040    0.0030    0.0030    0.0020    0.0020    0.0010
2s2_2p2_1De-2s_2p2(4Pe)3p_5Po              0.0530    0.0480    0.0450    0.0420    0.0360    0.0310    0.0250    0.0180    0.0120    0.0080
2s2_2p2_1De-2s2_2p_4p_3Pe                  0.3710    0.3710    0.3630    0.3550    0.3370    0.3160    0.2920    0.2650    0.2500    0.2400
2s2_2p2_1De-2s2_2p_4p_1De                  0.3220    0.3240    0.3220    0.3190    0.3070    0.2920    0.2780    0.2710    0.2760    0.2840
2s2_2p2_1De-2s_2p2(4Pe)3p_3Do              0.1680    0.1380    0.1260    0.1130    0.0860    0.0640    0.0460    0.0340    0.0280    0.0200
2s2_2p2_1De-2s_2p2(4Pe)3p_5So              0.0020    0.0020    0.0020    0.0020    0.0020    0.0010    0.0010    0.0010    0.0001    0.0001
2s2_2p2_1De-2s2_2p_4p_1Se                  0.0350    0.0320    0.0300    0.0290    0.0270    0.0260    0.0240    0.0250    0.0260    0.0290
