
******************************************************************************

       Photoionization cross-sections for C II

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 2999 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  
          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

19-Jul-2001                             !Date
219                                     !Number of energy levels
2                                       !Number of photoionization routes
2.0                                     !Screened nuclear charge
2s2_1Se/2s2s1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0D0                                !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
9576                                    !Total number of data pairs

2s2_2p_2Po                              !Configuration name
 1.438D+00 8.162D-02
 1.445D+00 7.860D-02
 1.453D+00 8.918D-02
 1.460D+00 1.190D-01
 1.475D+00 2.075D-01
 1.482D+00 2.260D-01
 1.489D+00 2.165D-01
 1.497D+00 1.989D-01
 1.504D+00 1.944D-01
 1.519D+00 2.086D-01
 1.527D+00 2.033D-01
 1.534D+00 2.098D-01
 1.542D+00 3.003D-01
 1.550D+00 6.479D-01
 1.558D+00 1.679D+00
 1.565D+00 4.320D+00
 1.573D+00 1.034D+01
 1.581D+00 2.188D+01
 1.589D+00 4.001D+01
 1.597D+00 6.176D+01
 1.605D+00 8.052D+01
 1.613D+00 8.941D+01
 1.621D+00 8.671D+01
 1.629D+00 7.568D+01
 1.645D+00 4.504D+01
 1.653D+00 3.086D+01
 1.662D+00 1.996D+01
 1.670D+00 1.281D+01
 1.678D+00 8.827D+00
 1.687D+00 6.759D+00
 1.695D+00 5.661D+00
 1.704D+00 4.995D+00
 1.712D+00 4.568D+00
 1.721D+00 4.364D+00
 1.729D+00 4.485D+00
 1.738D+00 5.032D+00
 1.755D+00 6.592D+00
 1.764D+00 6.625D+00
 1.773D+00 5.840D+00
 1.791D+00 3.468D+00
 1.799D+00 2.683D+00
 1.808D+00 2.240D+00
 1.817D+00 2.077D+00
 1.827D+00 2.393D+00
 1.836D+00 4.075D+00
 1.845D+00 9.031D+00
 1.854D+00 1.925D+01
 1.873D+00 4.927D+01
 1.882D+00 5.653D+01
 1.891D+00 5.233D+01
 1.901D+00 3.988D+01
 1.910D+00 2.622D+01
 1.920D+00 1.621D+01
 1.929D+00 1.067D+01
 1.939D+00 7.782D+00
 1.949D+00 5.942D+00
 1.958D+00 4.689D+00
 1.968D+00 4.598D+00
 1.978D+00 6.634D+00
 1.988D+00 1.124D+01
 1.998D+00 1.723D+01
 2.008D+00 2.158D+01
 2.018D+00 2.164D+01
 2.028D+00 1.757D+01
 2.038D+00 1.221D+01
 2.048D+00 8.614D+00
 2.058D+00 7.784D+00
 2.079D+00 9.699D+00
 2.089D+00 9.868D+00
 2.110D+00 9.177D+00
 2.121D+00 9.153D+00
 2.196D+00 1.006D+01
 2.207D+00 1.042D+01
 2.218D+00 1.123D+01
 2.240D+00 1.419D+01
 2.251D+00 1.517D+01
 2.263D+00 1.482D+01
 2.274D+00 1.318D+01
 2.297D+00 9.248D+00
 2.308D+00 8.178D+00
 2.320D+00 7.728D+00
 2.331D+00 7.647D+00
 2.354D+00 7.972D+00
 2.402D+00 9.804D+00
 2.414D+00 9.735D+00
 2.450D+00 8.578D+00
 2.562D+00 7.539D+00
 2.693D+00 6.767D+00
 2.761D+00 6.573D+00
 2.817D+00 6.670D+00
 3.035D+00 5.585D+00
 3.649D+00 3.656D+00
 4.031D+00 2.927D+00
 4.387D+00 2.424D+00
