
******************************************************************************

       Photoionization cross-sections for Ar VIII

>> Data is from the Opacity project
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

14-Feb-2001                             !Date
57                                      !Number of energy levels
1                                       !Number of photoionization routes
8.0                                     !Screened nuclear charge
2p6_1Se                                 !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
1053                                    !Total number of data pairs

3s_2Se                                  !Configuration name
 2.074D+01 7.405D-04
 2.212D+01 6.451D-04
6f_2Fo                                  !Configuration name
20                                      !Type of cross-section
31                                      !Number of cross-section points
 1.000D+00 5.261D-02
 1.030D+00 5.064D-02
 1.341D+00 2.343D-02
 1.389D+00 2.093D-02
 1.721D+00 1.083D-02
 2.079D+00 5.995D-03
 2.438D+00 3.596D-03
 2.803D+00 2.275D-03
 3.174D+00 1.497D-03
 3.336D+00 1.273D-03
 3.524D+00 1.068D-03
 3.704D+00 9.095D-04
 3.912D+00 7.624D-04
 4.133D+00 6.391D-04
 4.365D+00 5.357D-04
 4.611D+00 4.491D-04
 5.094D+00 3.261D-04
 5.489D+00 2.564D-04
 5.973D+00 1.953D-04
 6.437D+00 1.534D-04
 6.833D+00 1.267D-04
 7.218D+00 1.062D-04
 7.548D+00 9.182D-05
 7.934D+00 7.821D-05
 8.380D+00 6.556D-05
 9.211D+00 4.840D-05
 9.828D+00 3.925D-05
 1.038D+01 3.290D-05
 1.097D+01 2.758D-05
 1.170D+01 2.240D-05
 1.230D+01 1.973D-05
7s_2Se                                  !Configuration name
20                                      !Type of cross-section
31                                      !Number of cross-section points
 1.000D+00 5.106D-01
 1.424D+00 2.745D-01
 1.863D+00 1.677D-01
 2.263D+00 1.170D-01
 2.680D+00 8.553D-02
 3.112D+00 6.476D-02
 3.524D+00 5.135D-02
 3.912D+00 4.233D-02
 4.498D+00 3.271D-02
 4.993D+00 2.691D-02
 5.461D+00 2.280D-02
 5.973D+00 1.931D-02
 6.501D+00 1.651D-02
 7.110D+00 1.399D-02
 7.739D+00 1.195D-02
 8.422D+00 1.022D-02
 9.211D+00 8.655D-03
 1.003D+01 7.399D-03
 1.097D+01 6.267D-03
 1.286D+01 4.670D-03
 1.435D+01 3.811D-03
 1.658D+01 2.921D-03
 1.840D+01 2.402D-03
 2.013D+01 2.035D-03
 2.191D+01 1.740D-03
 2.396D+01 1.473D-03
 2.810D+01 1.098D-03
 3.104D+01 9.121D-04
 3.395D+01 7.726D-04
 3.981D+01 5.758D-04
 4.398D+01 4.851D-04
7p_2Po                                  !Configuration name
20                                      !Type of cross-section
31                                      !Number of cross-section points
 1.000D+00 7.342D-01
 1.445D+00 3.884D-01
 1.901D+00 2.373D-01
 2.331D+00 1.636D-01
 2.775D+00 1.187D-01
 3.222D+00 8.966D-02
 3.649D+00 7.080D-02
 4.051D+00 5.831D-02
 4.657D+00 4.510D-02
 5.170D+00 3.709D-02
 5.683D+00 3.113D-02
 6.185D+00 2.662D-02
 6.765D+00 2.255D-02
 7.363D+00 1.928D-02
 8.013D+00 1.648D-02
 8.764D+00 1.396D-02
 9.538D+00 1.194D-02
 1.043D+01 1.011D-02
 1.135D+01 8.646D-03
 1.331D+01 6.447D-03
 1.493D+01 5.212D-03
 1.725D+01 3.993D-03
 1.915D+01 3.285D-03
 2.095D+01 2.783D-03
 2.280D+01 2.379D-03
 2.493D+01 2.016D-03
 2.924D+01 1.502D-03
 3.230D+01 1.248D-03
 3.515D+01 1.067D-03
 4.122D+01 7.958D-04
 4.577D+01 6.649D-04
7d_2De                                  !Configuration name
20                                      !Type of cross-section
32                                      !Number of cross-section points
 1.000D+00 1.533D+00
 1.475D+00 6.750D-01
 1.512D+00 6.421D-01
 1.958D+00 3.534D-01
 2.438D+00 2.110D-01
 2.931D+00 1.350D-01
 3.420D+00 9.190D-02
 3.835D+00 6.864D-02
 4.133D+00 5.696D-02
 4.453D+00 4.749D-02
 4.774D+00 4.007D-02
 5.119D+00 3.382D-02
 5.461D+00 2.887D-02
 5.856D+00 2.437D-02
 6.278D+00 2.056D-02
 6.732D+00 1.734D-02
 7.182D+00 1.482D-02
 7.700D+00 1.250D-02
 8.256D+00 1.055D-02
 9.304D+00 7.900D-03
 1.023D+01 6.263D-03
 1.113D+01 5.104D-03
 1.236D+01 3.953D-03
 1.338D+01 3.252D-03
 1.442D+01 2.711D-03
 1.538D+01 2.315D-03
 1.649D+01 1.954D-03
 1.859D+01 1.463D-03
 2.023D+01 1.189D-03
 2.169D+01 1.003D-03
 2.456D+01 7.414D-04
 2.673D+01 6.135D-04
7f_2Fo                                  !Configuration name
20                                      !Type of cross-section
32                                      !Number of cross-section points
 1.000D+00 9.002D-02
 1.025D+00 8.781D-02
 1.460D+00 3.304D-02
 1.489D+00 2.989D-02
 1.519D+00 2.835D-02
 1.949D+00 1.365D-02
 2.018D+00 1.214D-02
 2.462D+00 6.533D-03
 2.524D+00 6.094D-03
 2.960D+00 3.648D-03
 3.437D+00 2.256D-03
 3.932D+00 1.447D-03
 4.153D+00 1.213D-03
 4.387D+00 1.020D-03
 4.634D+00 8.577D-04
 4.895D+00 7.213D-04
 5.170D+00 6.066D-04
 5.712D+00 4.432D-04
 6.185D+00 3.444D-04
 6.732D+00 2.636D-04
 7.253D+00 2.079D-04
 7.700D+00 1.722D-04
 8.134D+00 1.448D-04
 8.549D+00 1.237D-04
 8.985D+00 1.056D-04
 9.491D+00 8.882D-05
 1.038D+01 6.703D-05
 1.119D+01 5.282D-05
 1.182D+01 4.443D-05
 1.305D+01 3.246D-05
 1.365D+01 2.821D-05
 1.399D+01 2.674D-05
8s_2Se                                  !Configuration name
20                                      !Type of cross-section
29                                      !Number of cross-section points
 1.000D+00 6.151D-01
 1.565D+00 2.744D-01
 2.121D+00 1.556D-01
 2.707D+00 9.836D-02
 3.238D+00 7.019D-02
 3.797D+00 5.195D-02
 4.365D+00 3.986D-02
 4.774D+00 3.365D-02
 5.196D+00 2.870D-02
 5.655D+00 2.448D-02
 6.185D+00 2.068D-02
 6.732D+00 1.764D-02
 7.326D+00 1.504D-02
 7.973D+00 1.283D-02
 8.677D+00 1.094D-02
 9.444D+00 9.328D-03
 1.033D+01 7.881D-03
 1.205D+01 5.904D-03
 1.352D+01 4.756D-03
 1.554D+01 3.664D-03
 1.725D+01 3.004D-03
 1.887D+01 2.538D-03
 2.053D+01 2.164D-03
 2.235D+01 1.846D-03
 2.608D+01 1.383D-03
 2.895D+01 1.134D-03
 3.151D+01 9.674D-04
 3.658D+01 7.321D-04
 4.061D+01 6.065D-04
8p_2Po                                  !Configuration name
20                                      !Type of cross-section
31                                      !Number of cross-section points
 1.000D+00 8.668D-01
 1.589D+00 3.789D-01
 2.174D+00 2.126D-01
 2.789D+00 1.340D-01
 3.353D+00 9.485D-02
 3.932D+00 7.018D-02
 4.520D+00 5.373D-02
 4.944D+00 4.537D-02
 5.407D+00 3.836D-02
 5.885D+00 3.274D-02
 6.405D+00 2.794D-02
 6.970D+00 2.383D-02
 7.586D+00 2.034D-02
 8.256D+00 1.735D-02
 9.030D+00 1.467D-02
 9.828D+00 1.252D-02
 1.070D+01 1.068D-02
 1.164D+01 9.116D-03
 1.305D+01 7.371D-03
 1.500D+01 5.666D-03
 1.666D+01 4.658D-03
 1.822D+01 3.940D-03
 1.973D+01 3.391D-03
 2.137D+01 2.919D-03
 2.325D+01 2.492D-03
 2.531D+01 2.126D-03
 2.810D+01 1.750D-03
 3.182D+01 1.388D-03
 3.622D+01 1.087D-03
 3.942D+01 9.270D-04
 4.269D+01 8.141D-04
8d_2De                                  !Configuration name
20                                      !Type of cross-section
25                                      !Number of cross-section points
 1.000D+00 1.837D+00
 1.597D+00 7.081D-01
 1.653D+00 6.385D-01
 2.218D+00 3.333D-01
 2.285D+00 3.081D-01
 2.873D+00 1.805D-01
 3.506D+00 1.120D-01
 4.133D+00 7.475D-02
 4.774D+00 5.193D-02
 5.094D+00 4.440D-02
 5.461D+00 3.755D-02
 5.856D+00 3.176D-02
 6.632D+00 2.359D-02
 7.290D+00 1.877D-02
 8.174D+00 1.427D-02
 8.896D+00 1.163D-02
 9.586D+00 9.717D-03
 1.028D+01 8.219D-03
 1.102D+01 6.951D-03
 1.182D+01 5.879D-03
 1.338D+01 4.365D-03
 1.456D+01 3.557D-03
 1.561D+01 3.008D-03
 1.768D+01 2.234D-03
 1.925D+01 1.855D-03
8f_2Fo                                  !Configuration name
20                                      !Type of cross-section
30                                      !Number of cross-section points
 1.000D+00 1.375D-01
 1.030D+00 1.339D-01
 1.605D+00 4.044D-02
 1.637D+00 3.591D-02
 1.678D+00 3.357D-02
 2.240D+00 1.456D-02
 2.320D+00 1.283D-02
 2.873D+00 6.750D-03
 2.975D+00 6.009D-03
 3.559D+00 3.403D-03
 4.195D+00 2.014D-03
