
******************************************************************************

       Photoionization cross-sections for S VI

>> Verner high energy tail included for gnd level
>> Opacity project data smoothed by phot_smooth.f
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

08-Jul-99                               !Date
31                                      !Number of energy levels
1                                       !Number of photoionization routes
6.0                                     !Screened nuclear charge
1Se                                     !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
4806                                    !Total number of data pairs

3s2Se                                   !Configuration name
1.5968D+00 2.810D-01
1.7036D+00 2.536D-01
1.7120D+00 2.516D-01
1.8356D+00 2.244D-01
1.8448D+00 2.225D-01
2.0686D+00 1.837D-01
2.1420D+00 1.738D-01
2.1527D+00 1.724D-01
2.1634D+00 1.710D-01
2.1742D+00 1.695D-01
2.3428D+00 1.503D-01
2.3663D+00 1.478D-01
2.5497D+00 1.309D-01
2.5625D+00 1.299D-01
2.5752D+00 1.288D-01
2.5881D+00 1.278D-01
2.6010D+00 1.268D-01
2.6140D+00 1.257D-01
2.8166D+00 1.113D-01
2.8307D+00 1.104D-01
2.8448D+00 1.096D-01
2.8733D+00 1.078D-01
2.8877D+00 1.069D-01
2.9021D+00 1.060D-01
3.0961D+00 9.542D-02
3.1115D+00 9.468D-02
3.1271D+00 9.392D-02
3.1427D+00 9.317D-02
3.1584D+00 9.241D-02
3.1741D+00 9.165D-02
3.4545D+00 7.987D-02
3.4891D+00 7.858D-02
3.7596D+00 6.957D-02
3.7784D+00 6.902D-02
3.7972D+00 6.848D-02
3.8162D+00 6.792D-02
3.8352D+00 6.737D-02
3.8736D+00 6.625D-02
4.2157D+00 5.776D-02
4.2579D+00 5.681D-02
4.5653D+00 5.073D-02
4.5880D+00 5.033D-02
4.6110D+00 4.993D-02
4.6571D+00 4.912D-02
5.0182D+00 4.348D-02
5.0433D+00 4.314D-02
5.0684D+00 4.280D-02
5.0937D+00 4.246D-02
5.1191D+00 4.211D-02
5.1447D+00 4.176D-02
5.5990D+00 3.639D-02
5.6551D+00 3.580D-02
5.6834D+00 3.550D-02
5.7116D+00 3.521D-02
6.0936D+00 3.170D-02
6.1240D+00 3.145D-02
6.1546D+00 3.120D-02
6.1852D+00 3.095D-02
6.2162D+00 3.069D-02
6.2471D+00 3.044D-02
6.8328D+00 2.632D-02
6.8670D+00 2.610D-02
7.4734D+00 2.275D-02
7.5108D+00 2.257D-02
7.5482D+00 2.238D-02
7.6237D+00 2.201D-02
8.1336D+00 1.981D-02
8.2150D+00 1.950D-02
8.2972D+00 1.919D-02
8.3385D+00 1.903D-02
8.9851D+00 1.685D-02
9.0299D+00 1.672D-02
9.0751D+00 1.658D-02
9.1659D+00 1.632D-02
9.8764D+00 1.445D-02
9.9259D+00 1.434D-02
9.9753D+00 1.422D-02
1.0025D+01 1.411D-02
1.0075D+01 1.399D-02
1.0126D+01 1.388D-02
1.1020D+01 1.209D-02
1.1130D+01 1.190D-02
1.1186D+01 1.180D-02
1.1241D+01 1.170D-02
1.1993D+01 1.053D-02
1.2053D+01 1.045D-02
1.2113D+01 1.037D-02
1.2173D+01 1.028D-02
1.2234D+01 1.020D-02
1.2295D+01 1.011D-02
1.3448D+01 8.743D-03
1.3515D+01 8.671D-03
1.4709D+01 7.557D-03
1.4782D+01 7.496D-03
1.4856D+01 7.435D-03
1.5005D+01 7.311D-03
1.6249D+01 6.426D-03
1.6493D+01 6.269D-03
1.7684D+01 5.597D-03
1.7772D+01 5.553D-03
1.7861D+01 5.509D-03
1.8040D+01 5.420D-03
1.9438D+01 4.798D-03
1.9535D+01 4.761D-03
1.9633D+01 4.723D-03
1.9731D+01 4.685D-03
1.9829D+01 4.647D-03
2.0028D+01 4.570D-03
2.1688D+01 4.016D-03
2.1905D+01 3.951D-03
2.2015D+01 3.918D-03
2.2124D+01 3.885D-03
2.3604D+01 3.498D-03
2.3722D+01 3.471D-03
2.3840D+01 3.443D-03
2.3959D+01 3.415D-03
2.4079D+01 3.388D-03
2.4199D+01 3.360D-03
2.6467D+01 2.905D-03
2.6600D+01 2.881D-03
2.8949D+01 2.511D-03
2.9531D+01 2.429D-03
3.1663D+01 2.169D-03
3.1821D+01 2.152D-03
3.2140D+01 2.118D-03
3.2300D+01 2.100D-03
3.2461D+01 2.083D-03
3.2623D+01 2.065D-03
3.5153D+01 1.830D-03
3.5505D+01 1.800D-03
3.8257D+01 1.594D-03
3.8449D+01 1.582D-03
3.8640D+01 1.569D-03
3.8833D+01 1.556D-03
3.9027D+01 1.544D-03
3.9417D+01 1.518D-03
4.2685D+01 1.334D-03
4.3113D+01 1.312D-03
4.3328D+01 1.301D-03
4.3544D+01 1.290D-03
4.6456D+01 1.162D-03
4.6687D+01 1.153D-03
4.6921D+01 1.144D-03
4.7155D+01 1.135D-03
