**********************************************************************
**********************************************************************

 Photoionization cross-sections for FeIV
 Smoothe Opacity project (3000km/s) and crude hydrogenic when 
 unavailable.

**********************************************************************
**********************************************************************

04-Nov-2000 00:04:27                   !Date
383                                    !Number of energy levels
1                                      !Number of photoionization routes
4.0                                    !Screened nuclear charge
3d4_5De                                !Final state in ion
0.0                                    !Excitation energy of final state
25.0                                   !Statistical weight of ion
Megabarns                              !Cross-section unit
False                                  !Split J levels
14741                                  !Total number of data pairs


3d4(5D)4s_6De                          !Configuration name
20                                     !Type of cross-section
21                                     !Number of cross-section points
37                                     !Number of cross-section points
 1.000D+00 8.036D-05
 1.005D+00 2.699D-04
 1.010D+00 8.433D-04
 1.015D+00 2.431D-03
 1.020D+00 6.215D-03
 1.025D+00 1.381D-02
 1.030D+00 2.590D-02
 1.041D+00 5.568D-02
 1.046D+00 6.613D-02
 1.051D+00 7.142D-02
 1.067D+00 7.987D-02
 1.078D+00 9.416D-02
 1.088D+00 1.137D-01
 1.110D+00 1.711D-01
 1.116D+00 1.785D-01
 1.127D+00 1.824D-01
 1.302D+00 1.586D-01
 1.738D+00 1.130D-01
 2.110D+00 8.752D-02
 2.627D+00 6.473D-02
 3.270D+00 4.749D-02
 4.051D+00 3.485D-02
 4.968D+00 2.576D-02
 6.063D+00 1.940D-02
 7.511D+00 1.432D-02
 8.256D+00 1.091D-02
 8.940D+00 8.591D-03
 9.586D+00 6.970D-03
 1.023D+01 5.740D-03
 1.086D+01 4.798D-03
 1.147D+01 4.071D-03
 1.261D+01 3.065D-03
 1.365D+01 2.414D-03
 1.456D+01 1.988D-03
 1.609D+01 1.474D-03
 1.708D+01 1.233D-03
 1.760D+01 1.160D-03

3d4(3D)4s_4De                          !Configuration name
20                                     !Type of cross-section
43                                     !Number of cross-section points
 1.000D+00 9.570D-03
 1.005D+00 1.505D-02
 1.010D+00 2.810D-02
 1.015D+00 5.258D-02
 1.020D+00 8.737D-02
 1.025D+00 1.273D-01
 1.030D+00 1.749D-01
 1.035D+00 2.544D-01
 1.041D+00 3.887D-01
 1.046D+00 5.535D-01
 1.051D+00 6.631D-01
 1.056D+00 6.473D-01
 1.062D+00 5.248D-01
 1.067D+00 3.848D-01
 1.072D+00 3.029D-01
 1.078D+00 2.847D-01
 1.083D+00 2.901D-01
 1.088D+00 2.811D-01
 1.099D+00 2.117D-01
 1.105D+00 1.844D-01
 1.110D+00 1.743D-01
 1.127D+00 1.877D-01
 1.138D+00 1.905D-01
 1.497D+00 1.460D-01
 1.920D+00 1.092D-01
 2.402D+00 8.126D-02
 2.931D+00 6.193D-02
 3.577D+00 4.688D-02
 4.344D+00 3.536D-02
 5.248D+00 2.671D-02
 6.405D+00 2.013D-02
 7.548D+00 1.581D-02
 8.256D+00 1.220D-02
 8.896D+00 9.749D-03
 9.538D+00 7.909D-03
 1.013D+01 6.612D-03
 1.070D+01 5.610D-03
 1.187D+01 4.100D-03
 1.292D+01 3.180D-03
 1.379D+01 2.619D-03
 1.531D+01 1.914D-03
 1.633D+01 1.576D-03
 1.691D+01 1.456D-03

3d4(1G2)4s_2Ge                         !Configuration name
20                                     !Type of cross-section
42                                     !Number of cross-section points
 1.000D+00 1.005D-02
 1.005D+00 2.879D-02
 1.010D+00 7.139D-02
 1.015D+00 1.499D-01
 1.020D+00 2.566D-01
 1.025D+00 3.531D-01
 1.030D+00 3.874D-01
 1.035D+00 3.468D-01
 1.041D+00 2.705D-01
 1.046D+00 2.067D-01
 1.051D+00 1.711D-01
 1.062D+00 1.331D-01
 1.067D+00 1.265D-01
 1.072D+00 1.380D-01
 1.088D+00 2.211D-01
 1.099D+00 2.515D-01
 1.105D+00 2.567D-01
 1.110D+00 2.517D-01
 1.127D+00 2.043D-01
 1.138D+00 1.905D-01
