 
******************************************************************************
 
       Photoionization cross-sections for N III
 
>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec
 
          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         
 
******************************************************************************
 
 7-Jun-1999                             !Date
102                                     !Number of energy levels
1                                       !Number of photoionization routes
3.0                                     !Screened nuclear charge
2s2s1Se/2s2_1Se                         !Final state in ion
0.0                                     !Excitation energy of final state
1.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
12820                                   !Total number of data pairs
 
2s2_2p_2Po                              !Configuration name
 1.020D+00 2.778D-02
 1.025D+00 4.924D-02
 1.030D+00 8.630D-02
 1.035D+00 1.522D-01
 1.041D+00 3.041D-01
 1.046D+00 6.712D-01
 1.051D+00 1.687D+00
 1.056D+00 4.057D+00
 1.072D+00 2.262D+01
 1.078D+00 2.632D+01
 1.083D+00 2.431D+01
 1.094D+00 1.125D+01
 1.099D+00 5.860D+00
 1.105D+00 2.799D+00
 1.110D+00 1.284D+00
 1.116D+00 6.950D-01
 1.121D+00 4.983D-01
 1.127D+00 5.235D-01
 1.133D+00 6.592D-01
 1.138D+00 7.944D-01
 1.144D+00 8.248D-01
 1.155D+00 5.609D-01
 1.161D+00 4.865D-01
 1.167D+00 5.484D-01
 1.184D+00 1.309D+00
 1.196D+00 1.805D+00
 1.202D+00 1.880D+00
 1.208D+00 1.802D+00
 1.214D+00 1.675D+00
 1.220D+00 1.672D+00
 1.226D+00 1.930D+00
 1.251D+00 4.444D+00
 1.270D+00 1.041D+01
 1.276D+00 1.174D+01
 1.283D+00 1.120D+01
 1.295D+00 7.083D+00
 1.302D+00 5.430D+00
 1.308D+00 4.612D+00
 1.315D+00 4.352D+00
 1.322D+00 4.390D+00
 1.328D+00 4.473D+00
 1.335D+00 4.477D+00
 1.341D+00 4.465D+00
 1.348D+00 4.696D+00
 1.362D+00 5.958D+00
 1.368D+00 6.394D+00
 1.375D+00 6.260D+00
 1.382D+00 5.803D+00
 1.389D+00 5.527D+00
 1.396D+00 5.769D+00
 1.410D+00 7.418D+00
 1.417D+00 7.785D+00
 1.424D+00 7.446D+00
 1.438D+00 5.749D+00
 1.445D+00 5.069D+00
 1.453D+00 4.566D+00
 1.460D+00 4.228D+00
 1.467D+00 4.032D+00
 1.475D+00 3.962D+00
 1.489D+00 3.936D+00
 1.504D+00 3.855D+00
 1.512D+00 3.819D+00
 1.519D+00 3.815D+00
 1.527D+00 3.829D+00
 1.534D+00 3.837D+00
 1.542D+00 3.822D+00
 1.550D+00 3.787D+00
 1.558D+00 3.753D+00
 1.573D+00 3.722D+00
 1.581D+00 3.704D+00
 1.589D+00 3.664D+00
 1.605D+00 3.493D+00
 1.613D+00 3.426D+00
 1.621D+00 3.391D+00
 1.629D+00 3.424D+00
 1.637D+00 3.540D+00
 1.653D+00 4.040D+00
 1.662D+00 4.280D+00
 1.670D+00 4.339D+00
 1.678D+00 4.141D+00
 1.695D+00 3.424D+00
 1.704D+00 3.157D+00
 1.712D+00 3.012D+00
 1.721D+00 2.952D+00
 1.729D+00 2.952D+00
 1.738D+00 2.993D+00
 1.764D+00 3.322D+00
 1.773D+00 3.387D+00
 1.782D+00 3.336D+00
 1.799D+00 3.052D+00
 1.808D+00 2.966D+00
 1.817D+00 2.953D+00
 1.827D+00 2.960D+00
 1.836D+00 2.939D+00
 1.854D+00 2.826D+00
 1.863D+00 2.789D+00
 1.873D+00 2.769D+00
 1.882D+00 2.747D+00
 1.910D+00 2.625D+00
 1.939D+00 2.518D+00
 1.998D+00 2.389D+00
 2.028D+00 2.326D+00
 2.038D+00 2.304D+00
 2.058D+00 2.262D+00
 2.069D+00 2.240D+00
 2.089D+00 2.196D+00
 2.100D+00 2.174D+00
 2.110D+00 2.152D+00
 2.131D+00 2.108D+00
 2.142D+00 2.086D+00
 2.153D+00 2.063D+00
 2.174D+00 2.018D+00
 2.185D+00 1.995D+00
 2.196D+00 1.972D+00
 2.207D+00 1.949D+00
 2.229D+00 1.902D+00
 2.251D+00 1.856D+00
 2.263D+00 1.832D+00
 2.426D+00 1.541D+00
 2.601D+00 1.324D+00
 2.789D+00 1.135D+00
 2.803D+00 1.123D+00
 2.817D+00 1.110D+00
 3.020D+00 9.492D-01
 3.035D+00 9.385D-01
 3.254D+00 8.006D-01
 3.489D+00 6.813D-01
 3.741D+00 5.786D-01
 4.011D+00 4.904D-01
 4.301D+00 4.150D-01
 4.611D+00 3.505D-01
 4.634D+00 3.463D-01
 4.657D+00 3.421D-01
 4.919D+00 2.992D-01
 4.944D+00 2.956D-01
 5.301D+00 2.489D-01
 5.683D+00 2.093D-01
 6.094D+00 1.758D-01
 6.533D+00 1.475D-01
 7.005D+00 1.235D-01
 7.511D+00 1.033D-01
 8.053D+00 8.640D-02
 8.634D+00 7.220D-02
 9.258D+00 6.031D-02
 9.926D+00 5.037D-02
 1.064D+01 4.208D-02
 1.141D+01 3.515D-02
 1.223D+01 2.934D-02
 1.230D+01 2.897D-02
 1.248D+01 2.784D-02
 1.254D+01 2.746D-02
 1.261D+01 2.708D-02
 1.352D+01 2.200D-02
 1.449D+01 1.785D-02
 1.515D+01 1.561D-02
2s_2p2_2Pe                              !Configuration name
20                                      !Type of cross-section
153                                     !Number of cross-section points
 1.000D+00 7.417D-02
 1.015D+00 1.074D-01
 1.025D+00 1.497D-01
 1.035D+00 2.207D-01
 1.041D+00 2.821D-01
 1.046D+00 4.013D-01
