  Transition                                                  f           A          Lam(A)      i-j    Trans. #

2p5_3p_1De[2]             -2p5(2P*<3/2>)3d_2{1/2}o[1]    2.8000E-02  3.0782E+07    3179.055      10-  17       98
2p5_3p_1De[2]             -2p5(2P*<3/2>)3d_2{3/2}o[2]    9.6000E-02  6.3938E+07    3163.732      10-  18       99
2p5_3p_1De[2]             -2p5(2P*<3/2>)3d_2{7/2}o[3]    4.8000E-01  2.3413E+08    3124.413      10-  20      100
2p5_3p_1De[2]             -2p5(2P*<3/2>)4s_2{3/2}o[2]    2.2000E-02  1.5316E+07    3094.449      10-  21      101
2p5_3p_1De[2]             -2p5(2P*<3/2>)3d_2{5/2}o[2]    5.2000E-04  3.6581E+05    3078.338      10-  22      102
2p5_3p_1De[2]             -2p5(2P*<3/2>)3d_2{5/2}o[3]    9.2000E-01  4.6350E+08    3074.332      10-  23      103
2p5_3p_1De[2]             -2p5(2P*<3/2>)3d_2{3/2}o[1]    4.8000E-03  5.6555E+06    3070.823      10-  24      104
2p5_3p_1De[2]             -2p5(2P*<3/2>)4s_2{3/2}o[1]    3.8000E-02  4.5128E+07    3058.715      10-  25      105
2p5_3p_1De[2]             -2p5(2P*<1/2>)3d_2{5/2}o[2]    5.2000E-02  3.9187E+07    2974.238      10-  27      106
2p5_3p_1De[2]             -2p5(2P*<1/2>)3d_2{5/2}o[3]    6.0000E-03  3.2373E+06    2970.727      10-  28      107
2p5_3p_1De[2]             -2p5(2P*<1/2>)3d_2{3/2}o[2]    1.9200E-01  1.4607E+08    2960.115      10-  29      108
2p5_3p_1De[2]             -2p5(2P*<1/2>)3d_2{3/2}o[1]    7.2000E-02  9.2083E+07    2947.445      10-  30      109
2p5_3p_1De[2]             -2p5(2P*<1/2>)4s_2{1/2}o[1]    1.0000E-02  1.2831E+07    2942.655      10-  31      110
2p5_3p_1De[2]             -2p5(2P*<3/2>)5s_2{3/2}o[1]    9.8000E-03  3.2395E+07    1833.875      10-  32      111
2p5_3p_1De[2]             -2p5(2P*<1/2>)5s_2{1/2}o[1]    4.6000E-03  1.5927E+07    1791.863      10-  33      112
2p5_3p_1De[2]             -2p5(2P*<3/2>)6s_2{3/2}o[1]    3.4000E-03  1.5742E+07    1549.527      10-  34      113
2p5_3p_1De[2]             -2p5(2P*<1/2>)6s_2{1/2}o[1]    1.5800E-03  7.6174E+06    1518.521      10-  35      114
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)3d_2{1/2}o[0]    4.0000E-02  7.5263E+07    3260.215      11-  16      115
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)3d_2{1/2}o[1]    2.3333E-02  1.4718E+07    3250.949      11-  17      116
2p5_3p_1Pe[1]             -2p5(2P*<3/2>)3d_2{3/2}o[2]    7.3333E-02  2.8029E+07    3234.927      11-  18      117
