
******************************************************************************

       Photoionization cross-sections for Ar VII

>> Data is from the Opacity project
>>   Verner high energy tail included for gnd level
>>   Smoothed with a gausian of width 3000 km/sec

          Types of cross sections included:
         -----------------------------------

           1 - Seaton formula fit [sigma_o,alpha,beta]                  

          20 - Opacity Project: smoothed [number of data pairs]         

******************************************************************************

15-Feb-2001                             !Date
153                                     !Number of energy levels
1                                       !Number of photoionization routes
7.0                                     !Screened nuclear charge
2p6_3s_2Se/3s_2Se                       !Final state in ion
0.0                                     !Excitation energy of final state
2.0                                     !Statistical weight of ion
3000.0                                  !Sigma used for Gaussian smoothing (km/s)
Megabarns                               !Cross-section unit
False                                   !Split J levels
32686                                   !Total number of data pairs

3s2_1Se                                 !Configuration name
 1.144D+00 8.603D-01
 1.150D+00 7.354D-01
 1.155D+00 6.551D-01
 1.161D+00 6.083D-01
 1.202D+00 4.387D-01
 1.220D+00 4.134D-01
 1.226D+00 4.240D-01
 1.233D+00 4.673D-01
 1.239D+00 5.607D-01
 1.251D+00 8.159D-01
 1.257D+00 8.626D-01
 1.264D+00 8.108D-01
 1.276D+00 5.784D-01
 1.283D+00 4.897D-01
 1.289D+00 4.322D-01
 1.295D+00 3.981D-01
 1.302D+00 3.860D-01
 1.308D+00 4.046D-01
 1.315D+00 4.610D-01
 1.328D+00 6.155D-01
 1.335D+00 6.397D-01
 1.341D+00 6.045D-01
 1.355D+00 4.708D-01
 1.362D+00 4.427D-01
 1.368D+00 4.557D-01
 1.382D+00 5.134D-01
 1.438D+00 4.399D-01
 1.467D+00 4.524D-01
 1.482D+00 4.515D-01
 1.519D+00 4.929D-01
 1.550D+00 4.345D-01
 1.565D+00 4.186D-01
 1.721D+00 3.355D-01
 1.773D+00 3.222D-01
 1.808D+00 3.416D-01
 1.845D+00 3.020D-01
 1.873D+00 2.884D-01
 1.901D+00 2.910D-01
 1.949D+00 2.703D-01
 2.089D+00 2.341D-01
 2.550D+00 1.430D-01
 2.707D+00 1.195D-01
 2.873D+00 9.995D-02
 3.035D+00 8.479D-02
 3.206D+00 7.195D-02
 3.386D+00 6.105D-02
 3.577D+00 5.180D-02
 3.971D+00 3.785D-02
 4.365D+00 2.850D-02
 4.774D+00 2.178D-02
 5.196D+00 1.689D-02
 5.599D+00 1.351D-02
 6.003D+00 1.096D-02
 6.405D+00 9.024D-03
 6.799D+00 7.543D-03
 7.548D+00 5.512D-03
 8.215D+00 4.276D-03
 8.808D+00 3.469D-03
 9.304D+00 2.944D-03
 1.018D+01 2.249D-03
 1.064D+01 1.968D-03
 1.091D+01 1.869D-03
3p_3d_3Fo                               !Configuration name
20                                      !Type of cross-section
91                                      !Number of cross-section points
 1.000D+00 4.769D-02
 1.005D+00 4.966D-02
 1.010D+00 6.182D-02
 1.015D+00 9.033D-02
 1.020D+00 1.358D-01
 1.025D+00 1.959D-01
 1.030D+00 2.880D-01
 1.035D+00 4.792D-01
 1.041D+00 8.433D-01
 1.046D+00 1.349D+00
 1.051D+00 1.778D+00
 1.056D+00 1.875D+00
 1.062D+00 1.586D+00
 1.067D+00 1.116D+00
 1.072D+00 7.394D-01
 1.078D+00 5.852D-01
 1.083D+00 6.335D-01
 1.088D+00 8.086D-01
 1.094D+00 1.018D+00
 1.099D+00 1.144D+00
 1.105D+00 1.091D+00
 1.116D+00 6.834D-01
 1.121D+00 6.048D-01
 1.127D+00 6.547D-01
 1.133D+00 7.321D-01
 1.138D+00 7.570D-01
 1.144D+00 7.464D-01
 1.150D+00 7.623D-01
 1.161D+00 9.113D-01
 1.179D+00 1.258D+00
 1.184D+00 1.310D+00
 1.190D+00 1.252D+00
 1.202D+00 9.628D-01
 1.208D+00 8.479D-01
 1.214D+00 7.777D-01
 1.220D+00 7.398D-01
 1.233D+00 7.119D-01
 1.257D+00 7.850D-01
 1.264D+00 7.672D-01
 1.276D+00 6.622D-01
